Bin , nEvents , Efficiencies
150,975,0.0195
160,892,0.01784
170,799,0.01598
180,739,0.01478
190,711,0.01422
200,1321,0.02642
220,1100,0.022
240,930,0.0186
260,849,0.01698
280,729,0.01458
300,629,0.01258
320,554,0.01108
340,515,0.0103
360,501,0.01002
380,440,0.0088
400,387,0.00774
420,357,0.00714
440,290,0.0058
460,291,0.00582
480,258,0.00516
500,234,0.00468
520,220,0.0044
540,185,0.0037
560,145,0.0029
580,152,0.00304
600,197,0.00394
630,176,0.00352
660,143,0.00286
690,155,0.0031
720,112,0.00224
750,119,0.00238
780,94,0.00188
810,67,0.00134
840,84,0.00168
870,70,0.0014
900,92,0.00184
950,78,0.00156
1000,54,0.00108
1050,48,0.00096
1100,41,0.00082
1150,22,0.00044
1200,27,0.00054
1250,26,0.00052
1310,27,0.00054
1370,14,0.00028
1430,9,0.00018
1490,9,0.00018
1550,9,0.00018
1610,5,0.0001
1680,12,0.00024
1750,2,4e-05
1820,4,8e-05
1890,3,6e-05
1970,2,4e-05
2050,3,6e-05
