Bin , nEvents , Efficiencies
152.41,1626,0.03252
165.05,1627,0.03254
178.75,1582,0.03164
193.57,1533,0.03066
209.63,1467,0.02934
227.02,1394,0.02788
245.86,1325,0.0265
266.25,1205,0.0241
288.34,1205,0.0241
312.26,1153,0.02306
338.16,1004,0.02008
366.21,1018,0.02036
396.59,904,0.01808
429.49,835,0.0167
465.12,742,0.01484
503.71,661,0.01322
545.49,607,0.01214
590.74,545,0.0109
639.75,471,0.00942
692.82,405,0.0081
750.29,362,0.00724
812.54,329,0.00658
879.94,271,0.00542
952.94,238,0.00476
1032,183,0.00366
1117.6,145,0.0029
1210.3,130,0.0026
1310.7,80,0.0016
1419.4,86,0.00172
1537.2,66,0.00132
1664.7,47,0.00094
1802.8,27,0.00054
1952.4,26,0.00052
2114.3,16,0.00032
2289.7,12,0.00024
2479.7,5,0.0001
