Bin, nEvents, Efficiencies
152.41,1530,0.0306
165.05,1432,0.02864
178.75,1471,0.02942
193.57,1461,0.02922
209.63,1329,0.02658
227.02,1284,0.02568
245.86,1219,0.02438
266.25,1161,0.02322
288.34,1169,0.02338
312.26,1051,0.02102
338.16,1003,0.02006
366.21,951,0.01902
396.59,864,0.01728
429.49,804,0.01608
465.12,751,0.01502
503.71,652,0.01304
545.49,594,0.01188
590.74,521,0.01042
639.75,475,0.0095
692.82,431,0.00862
750.29,414,0.00828
812.54,323,0.00646
879.94,280,0.0056
952.94,223,0.00446
1032,207,0.00414
1117.6,178,0.00356
1210.3,140,0.0028
1310.7,117,0.00234
1419.4,79,0.00158
1537.2,78,0.00156
1664.7,54,0.00108
1802.8,53,0.00106
1952.4,21,0.00042
2114.3,23,0.00046
2289.7,15,0.0003
2479.7,13,0.00026
