Bin , nEvents , Efficiencies
150,39,0.00078
160,48,0.00096
170,49,0.00098
180,52,0.00104
190,65,0.0013
200,162,0.00324
220,145,0.0029
240,197,0.00394
260,222,0.00444
280,213,0.00426
300,237,0.00474
320,247,0.00494
340,258,0.00516
360,251,0.00502
380,326,0.00652
400,300,0.006
420,292,0.00584
440,319,0.00638
460,319,0.00638
480,342,0.00684
500,331,0.00662
520,337,0.00674
540,355,0.0071
560,322,0.00644
580,357,0.00714
600,535,0.0107
630,527,0.01054
660,523,0.01046
690,548,0.01096
720,548,0.01096
750,555,0.0111
780,537,0.01074
810,547,0.01094
840,504,0.01008
870,515,0.0103
900,836,0.01672
950,796,0.01592
1000,812,0.01624
1050,765,0.0153
1100,775,0.0155
1150,703,0.01406
1200,678,0.01356
1250,754,0.01508
1310,717,0.01434
1370,593,0.01186
1430,624,0.01248
1490,521,0.01042
1550,497,0.00994
1610,483,0.00966
1680,434,0.00868
1750,378,0.00756
1820,327,0.00654
1890,310,0.0062
1970,284,0.00568
2050,235,0.0047
