Bin , nEvents , Efficiencies
152.41,2,4e-05
165.05,7,0.00014
178.75,3,6e-05
193.57,7,0.00014
209.63,6,0.00012
227.02,13,0.00026
245.86,13,0.00026
266.25,30,0.0006
288.34,29,0.00058
312.26,34,0.00068
338.16,69,0.00138
366.21,77,0.00154
396.59,140,0.0028
429.49,151,0.00302
465.12,192,0.00384
503.71,275,0.0055
545.49,288,0.00576
590.74,359,0.00718
639.75,432,0.00864
692.82,531,0.01062
750.29,630,0.0126
812.54,645,0.0129
879.94,826,0.01652
952.94,905,0.0181
1032,1110,0.0222
1117.6,1242,0.02484
1210.3,1410,0.0282
1310.7,1548,0.03096
1419.4,1705,0.0341
1537.2,1887,0.03774
1664.7,2109,0.04218
1802.8,2261,0.04522
1952.4,2248,0.04496
2114.3,2445,0.0489
2289.7,2453,0.04906
2479.7,2307,0.04614
