Bin , nEvents , Efficiencies
150,6,0.00012
160,3,6e-05
170,3,6e-05
180,1,2e-05
190,4,8e-05
200,9,0.00018
220,16,0.00032
240,15,0.0003
260,16,0.00032
280,31,0.00062
300,40,0.0008
320,47,0.00094
340,42,0.00084
360,79,0.00158
380,88,0.00176
400,106,0.00212
420,69,0.00138
440,96,0.00192
460,115,0.0023
480,101,0.00202
500,114,0.00228
520,114,0.00228
540,121,0.00242
560,120,0.0024
580,135,0.0027
600,196,0.00392
630,201,0.00402
660,251,0.00502
690,222,0.00444
720,239,0.00478
750,243,0.00486
780,282,0.00564
810,275,0.0055
840,260,0.0052
870,258,0.00516
900,457,0.00914
950,491,0.00982
1000,517,0.01034
1050,547,0.01094
1100,555,0.0111
1150,557,0.01114
1200,595,0.0119
1250,704,0.01408
1310,725,0.0145
1370,711,0.01422
1430,693,0.01386
1490,698,0.01396
1550,730,0.0146
1610,767,0.01534
1680,729,0.01458
1750,659,0.01318
1820,683,0.01366
1890,703,0.01406
1970,698,0.01396
2050,634,0.01268
