Bin , nEvents , Efficiencies
150,5,0.0001
160,9,0.00018
170,9,0.00018
180,12,0.00024
190,14,0.00028
200,42,0.00084
220,51,0.00102
240,68,0.00136
260,88,0.00176
280,107,0.00214
300,115,0.0023
320,127,0.00254
340,134,0.00268
360,145,0.0029
380,152,0.00304
400,168,0.00336
420,168,0.00336
440,191,0.00382
460,193,0.00386
480,177,0.00354
500,191,0.00382
520,193,0.00386
540,210,0.0042
560,229,0.00458
580,213,0.00426
600,329,0.00658
630,373,0.00746
660,370,0.0074
690,342,0.00684
720,415,0.0083
750,429,0.00858
780,404,0.00808
810,437,0.00874
840,422,0.00844
870,443,0.00886
900,758,0.01516
950,741,0.01482
1000,759,0.01518
1050,788,0.01576
1100,704,0.01408
1150,703,0.01406
1200,692,0.01384
1250,833,0.01666
1310,760,0.0152
1370,775,0.0155
1430,766,0.01532
1490,717,0.01434
1550,620,0.0124
1610,656,0.01312
1680,598,0.01196
1750,551,0.01102
1820,504,0.01008
1890,503,0.01006
1970,413,0.00826
2050,353,0.00706
