Bin , nEvents , Efficiencies
150,8,0.00016
160,12,0.00024
170,15,0.0003
180,21,0.00042
190,32,0.00064
200,74,0.00148
220,76,0.00152
240,78,0.00156
260,102,0.00204
280,103,0.00206
300,122,0.00244
320,122,0.00244
340,158,0.00316
360,132,0.00264
380,158,0.00316
400,174,0.00348
420,175,0.0035
440,159,0.00318
460,203,0.00406
480,183,0.00366
500,201,0.00402
520,192,0.00384
540,207,0.00414
560,231,0.00462
580,212,0.00424
600,329,0.00658
630,347,0.00694
660,370,0.0074
690,364,0.00728
720,329,0.00658
750,389,0.00778
780,404,0.00808
810,381,0.00762
840,400,0.008
870,430,0.0086
900,693,0.01386
950,682,0.01364
1000,659,0.01318
1050,704,0.01408
1100,700,0.014
1150,697,0.01394
1200,656,0.01312
1250,751,0.01502
1310,759,0.01518
1370,699,0.01398
1430,672,0.01344
1490,646,0.01292
1550,573,0.01146
1610,676,0.01352
1680,614,0.01228
1750,590,0.0118
1820,517,0.01034
1890,512,0.01024
1970,489,0.00978
2050,428,0.00856
