Bin , nEvents , Efficiencies
150,0,0
160,10,0.0002
170,14,0.00028
180,10,0.0002
190,15,0.0003
200,33,0.00066
220,42,0.00084
240,45,0.0009
260,57,0.00114
280,61,0.00122
300,81,0.00162
320,82,0.00164
340,77,0.00154
360,105,0.0021
380,98,0.00196
400,112,0.00224
420,109,0.00218
440,124,0.00248
460,116,0.00232
480,143,0.00286
500,123,0.00246
520,150,0.003
540,167,0.00334
560,149,0.00298
580,156,0.00312
600,232,0.00464
630,239,0.00478
660,278,0.00556
690,259,0.00518
720,276,0.00552
750,293,0.00586
780,297,0.00594
810,297,0.00594
840,319,0.00638
870,299,0.00598
900,572,0.01144
950,559,0.01118
1000,572,0.01144
1050,604,0.01208
1100,584,0.01168
1150,575,0.0115
1200,613,0.01226
1250,706,0.01412
1310,676,0.01352
1370,662,0.01324
1430,732,0.01464
1490,625,0.0125
1550,617,0.01234
1610,689,0.01378
1680,693,0.01386
1750,685,0.0137
1820,597,0.01194
1890,646,0.01292
1970,566,0.01132
2050,572,0.01144
