Bin , nEvents , Efficiencies
150,222,0.00444
160,232,0.00464
170,226,0.00452
180,262,0.00524
190,246,0.00492
200,552,0.01104
220,554,0.01108
240,556,0.01112
260,587,0.01174
280,612,0.01224
300,579,0.01158
320,615,0.0123
340,617,0.01234
360,584,0.01168
380,590,0.0118
400,567,0.01134
420,581,0.01162
440,554,0.01108
460,542,0.01084
480,526,0.01052
500,492,0.00984
520,476,0.00952
540,458,0.00916
560,461,0.00922
580,417,0.00834
600,647,0.01294
630,612,0.01224
660,512,0.01024
690,504,0.01008
720,514,0.01028
750,424,0.00848
780,452,0.00904
810,399,0.00798
840,323,0.00646
870,360,0.0072
900,509,0.01018
950,444,0.00888
1000,374,0.00748
1050,354,0.00708
1100,288,0.00576
1150,276,0.00552
1200,264,0.00528
1250,260,0.0052
1310,214,0.00428
1370,181,0.00362
1430,171,0.00342
1490,140,0.0028
1550,114,0.00228
1610,116,0.00232
1680,77,0.00154
1750,73,0.00146
1820,78,0.00156
1890,55,0.0011
1970,57,0.00114
2050,35,0.0007
