Bin , nEvents , Efficiencies
150,370,0.0074
160,366,0.00732
170,343,0.00686
180,309,0.00618
190,364,0.00728
200,730,0.0146
220,697,0.01394
240,668,0.01336
260,625,0.0125
280,675,0.0135
300,658,0.01316
320,675,0.0135
340,618,0.01236
360,541,0.01082
380,512,0.01024
400,523,0.01046
420,518,0.01036
440,476,0.00952
460,454,0.00908
480,422,0.00844
500,449,0.00898
520,379,0.00758
540,400,0.008
560,367,0.00734
580,345,0.0069
600,522,0.01044
630,437,0.00874
660,444,0.00888
690,395,0.0079
720,377,0.00754
750,328,0.00656
780,333,0.00666
810,311,0.00622
840,288,0.00576
870,277,0.00554
900,361,0.00722
950,371,0.00742
1000,311,0.00622
1050,260,0.0052
1100,216,0.00432
1150,213,0.00426
1200,195,0.0039
1250,223,0.00446
1310,184,0.00368
1370,152,0.00304
1430,129,0.00258
1490,112,0.00224
1550,104,0.00208
1610,102,0.00204
1680,99,0.00198
1750,71,0.00142
1820,83,0.00166
1890,67,0.00134
1970,68,0.00136
2050,47,0.00094
