Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,0.255953307,0.016706607,0.012352288,0.094938307,0.015035107,0.012352288,0.256917307,0.016694107,0.012352288,0.094938307,0.015035107,0.012352288,0.256707307,0.016702307,0.012359818,0.094557307,0.015040707,0.012359818
1500,0.01460826632,0.00075315632,0.0005613188,0.00483649632,0.00069524632,0.0005613188,0.01463936632,0.00075366632,0.0005613188,0.00483649632,0.00069524632,0.0005613188,0.01462046632,0.00075256632,0.0005614998,0.00481697632,0.00069383632,0.0005614998
2000,0.001155267686,4.88E-05,3.60E-05,0.000338196686,4.60E-05,3.60E-05,0.001154457686,4.87E-05,3.60E-05,0.000338196686,4.60E-05,3.60E-05,0.001153587686,4.88E-05,3.60E-05,0.000337894686,4.60E-05,3.60E-05
2500,0.0001033581776,3.70E-06,2.67E-06,2.72E-05,3.56E-06,2.67E-06,0.0001035283776,3.69E-06,2.67E-06,2.72E-05,3.56E-06,2.67E-06,0.0001034083776,3.69E-06,2.67E-06,2.72E-05,3.55E-06,2.67E-06
3000,9.88E-06,3.09E-07,2.20E-07,2.38E-06,3.04E-07,2.20E-07,9.88E-06,3.08E-07,2.20E-07,2.38E-06,3.04E-07,2.20E-07,9.87E-06,3.08E-07,2.20E-07,2.39E-06,3.03E-07,2.20E-07
3500,2.44E-07,6.77E-09,4.84E-09,2.02E-07,2.41E-08,1.73E-08,2.44E-07,6.77E-09,4.84E-09,2.02E-07,2.41E-08,1.73E-08,2.44E-07,6.77E-09,4.84E-09,2.01E-07,2.41E-08,1.73E-08
4000,2.64E-08,6.16E-10,4.43E-10,1.95E-08,2.05E-09,1.48E-09,2.64E-08,6.16E-10,4.43E-10,1.95E-08,2.05E-09,1.48E-09,2.64E-08,6.17E-10,4.43E-10,1.95E-08,2.05E-09,1.48E-09
4500,2.49E-09,4.75E-11,3.42E-11,1.53E-09,1.32E-10,9.59E-11,2.49E-09,4.75E-11,3.42E-11,1.53E-09,1.32E-10,9.59E-11,2.49E-09,4.75E-11,3.42E-11,1.53E-09,1.32E-10,9.59E-11
5000,1.81E-10,2.94E-12,2.10E-12,7.44E-11,4.94E-12,3.53E-12,1.81E-10,2.94E-12,2.10E-12,7.44E-11,4.94E-12,3.53E-12,1.81E-10,2.95E-12,2.10E-12,7.44E-11,4.94E-12,3.53E-12
5500,1.14E-11,1.75E-13,1.24E-13,1.55E-12,8.01E-14,5.33E-14,1.14E-11,1.75E-13,1.24E-13,1.55E-12,8.01E-14,5.33E-14,1.14E-11,1.75E-13,1.24E-13,1.55E-12,8.01E-14,5.33E-14
6000,8.13E-13,1.19E-14,8.44E-15,1.25E-14,6.26E-16,3.55E-16,8.13E-13,1.19E-14,8.44E-15,1.25E-14,6.26E-16,3.55E-16,8.14E-13,1.19E-14,8.44E-15,1.24E-14,6.25E-16,3.55E-16
6500,6.19E-14,9.01E-16,6.39E-16,6.56E-17,3.44E-18,1.64E-18,6.19E-14,9.01E-16,6.39E-16,6.56E-17,3.44E-18,1.64E-18,6.18E-14,9.01E-16,6.39E-16,6.55E-17,3.45E-18,1.64E-18
7000,5.65E-15,8.24E-17,5.91E-17,2.60E-19,1.39E-20,5.04E-21,5.65E-15,8.24E-17,5.91E-17,2.60E-19,1.39E-20,5.04E-21,5.65E-15,8.26E-17,5.91E-17,2.60E-19,1.39E-20,5.04E-21
7500,5.88E-16,7.70E-18,5.46E-18,1.18E-22,2.22E-23,1.27E-24,5.88E-16,7.70E-18,5.46E-18,1.18E-22,2.22E-23,1.27E-24,5.87E-16,7.68E-18,5.46E-18,1.19E-22,2.19E-23,1.27E-24
8000,5.22E-17,5.88E-19,4.09E-19,2.15E-31,,,5.22E-17,5.88E-19,4.09E-19,2.15E-31,,,5.22E-17,5.89E-19,4.09E-19,2.17E-31,,
