"Bin "," nEvents "," Efficiencies"
150,10699," 1.788e-02"
160,9541," 1.192e-02"
170,8627," 1.780e-02"
180,7898," 1.724e-02"
190,7027," 1.204e-02"
200,12803," 2.536e-02"
220,11152," 1.368e-02"
240,9404," 1.876e-02"
260,8372," 1.812e-02"
280,7211," 1.512e-02"
300,6374," 1.536e-02"
320,5704," 7.920e-03"
340,4941," 9.720e-03"
360,4505," 7.640e-03"
380,3959," 1.308e-02"
400,3568," 6.360e-03"
420,3126," 7.520e-03"
440,2880," 6.640e-03"
460,2700," 3.480e-03"
480,2374," 4.760e-03"
500,2209," 3.160e-03"
520,2047," 5.720e-03"
540,1870," 1.880e-03"
560,1769," 4.320e-03"
580,1551," 1.480e-03"
600,2153," 5.000e-03"
630,1857," 4.840e-03"
660,1690," 3.480e-03"
690,1512," 2.880e-03"
720,1361," 3.720e-03"
750,1213," 2.760e-03"
780,1089," 8.000e-05"
810,950,-4.400e-04
840,889," 1.920e-03"
870,814," 1.200e-03"
900,1209," 7.600e-04"
950,1042," 2.560e-03"
1000,878," 1.840e-03"
1050,754," 1.800e-03"
1100,677," 1.200e-03"
1150,565," 1.960e-03"
1200,489," 4.000e-04"
1250,513," 8.000e-04"
1310,433," 1.440e-03"
1370,366," 9.600e-04"
1430,296," 2.400e-04"
1490,271," 3.200e-04"
1550,233," 5.600e-04"
1610,228," 5.600e-04"
1680,185," 3.200e-04"
1750,160," 5.200e-04"
1820,146," 1.200e-04"
1890,137," 4.000e-05"
1970,104," 8.000e-05"
2050,102,-2.000e-04
