Bin , nEvents , Efficiencies
150,476,0.01904
160,469,0.01876
170,418,0.01672
180,389,0.01556
190,329,0.01316
200,631,0.02524
220,516,0.02064
240,456,0.01824
260,409,0.01636
280,370,0.0148
300,332,0.01328
320,274,0.01096
340,257,0.01028
360,254,0.01016
380,178,0.00712
400,169,0.00676
420,167,0.00668
440,130,0.0052
460,138,0.00552
480,106,0.00424
500,115,0.0046
520,99,0.00396
540,91,0.00364
560,73,0.00292
580,72,0.00288
600,114,0.00456
630,97,0.00388
660,96,0.00384
690,63,0.00252
720,60,0.0024
750,68,0.00272
780,52,0.00208
810,62,0.00248
840,45,0.0018
870,37,0.00148
900,51,0.00204
950,38,0.00152
1000,49,0.00196
1050,30,0.0012
1100,33,0.00132
1150,16,0.00064
1200,22,0.00088
1250,26,0.00104
1310,20,0.0008
1370,25,0.001
1430,15,0.0006
1490,13,0.00052
1550,10,0.0004
1610,12,0.00048
1680,12,0.00048
1750,10,0.0004
1820,6,0.00024
1890,6,0.00024
1970,5,0.0002
2050,8,0.00032
