"Bin "," nEvents "," Efficiencies"
"152.41","1686","0.022716"
"165.05","1622","0.023161"
"178.75","1541","0.021534"
"193.57","1527","0.020606"
"209.63","1456","0.019419"
"227.02","1226","0.018106"
"245.86","1282","0.017083"
"266.25","1195","0.016074"
"288.34","1040","0.015021"
"312.26","1011","0.014132"
"338.16","1001","0.01309 "
"366.21","850","0.011145"
"396.59","768","0.010855"
"429.49","694","0.009557"
"465.12","652","0.00874 "
"503.71","583","0.007719"
"545.49","553","0.006842"
"590.74","458","0.005898"
"639.75","428","0.005735"
"692.82","400","0.004818"
"750.29","328","0.004132"
"812.54","266","0.004059"
"879.94","282","0.003512"
"952.94","205","0.002828"
"1032","180","0.002402"
"1117.6","174","0.002162"
"1210.3","126","0.00185 "
"1310.7","103","0.001471"
"1419.4","95","0.001177"
"1537.2","83","0.000957"
"1664.7","60","0.000764"
"1802.8","38","0.00043 "
"1952.4","34","0.00045 "
"2114.3","19","0.00025 "
"2289.7","16","0.000279"
"2479.7","8","0.000153"
