Bin , nEvents , Efficiencies
150,1278,0.02556
160,1082,0.02164
170,964,0.01928
180,787,0.01574
190,720,0.0144
200,1173,0.02346
220,965,0.0193
240,776,0.01552
260,634,0.01268
280,569,0.01138
300,437,0.00874
320,356,0.00712
340,316,0.00632
360,266,0.00532
380,266,0.00532
400,225,0.0045
420,173,0.00346
440,143,0.00286
460,147,0.00294
480,119,0.00238
500,103,0.00206
520,96,0.00192
540,87,0.00174
560,66,0.00132
580,65,0.0013
600,97,0.00194
630,65,0.0013
660,74,0.00148
690,48,0.00096
720,39,0.00078
750,46,0.00092
780,30,0.0006
810,32,0.00064
840,24,0.00048
870,21,0.00042
900,37,0.00074
950,31,0.00062
1000,32,0.00064
1050,24,0.00048
1100,17,0.00034
1150,12,0.00024
1200,10,0.0002
1250,14,0.00028
1310,13,0.00026
1370,5,0.0001
1430,5,0.0001
1490,5,0.0001
1550,4,8e-05
1610,8,0.00016
1680,5,0.0001
1750,0,0
1820,4,8e-05
1890,1,2e-05
1970,3,6e-05
2050,2,4e-05
