"Bin "," nEvents "," Efficiencies"
150,0,7.5000e-05
160,4,4.5000e-05
170,1,1.2000e-04
180,3,1.3500e-04
190,2,1.6500e-04
200,5,3.0000e-04
220,5,6.9000e-04
240,10,9.5500e-04
260,21,1.0650e-03
280,23,1.1350e-03
300,34,1.2300e-03
320,42,1.4650e-03
340,55,1.5900e-03
360,66,1.8400e-03
380,64,1.8150e-03
400,54,2.1250e-03
420,71,1.9450e-03
440,85,1.9800e-03
460,79,2.1500e-03
480,84,2.3200e-03
500,101,2.7750e-03
520,99,2.7350e-03
540,98,3.0250e-03
560,81,3.1450e-03
580,108,2.9550e-03
600,158,4.7300e-03
630,175,5.2100e-03
660,188,5.8900e-03
690,205,5.7250e-03
720,196,5.8000e-03
750,235,6.2200e-03
780,243,6.3100e-03
810,240,6.9750e-03
840,259,6.5700e-03
870,262,6.8050e-03
900,457,1.1725e-02
950,442,1.1880e-02
1000,488,1.1870e-02
1050,533,1.2840e-02
1100,570,1.2255e-02
1150,564,1.2570e-02
1200,588,1.2260e-02
1250,731,1.4170e-02
1310,744,1.4495e-02
1370,782,1.2580e-02
1430,757,1.2250e-02
1490,797,1.1645e-02
1550,736,1.2055e-02
1610,836,1.2755e-02
1680,826,1.1610e-02
1750,777,1.1540e-02
1820,744,1.0595e-02
1890,786,1.1370e-02
1970,716,9.9850e-03
2050,717,9.3500e-03
