Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,0,0
240,0,0
260,1,4e-05
280,0,0
300,0,0
320,0,0
340,2,8e-05
360,0,0
380,0,0
400,0,0
420,0,0
440,2,8e-05
460,1,4e-05
480,1,4e-05
500,0,0
520,2,8e-05
540,1,4e-05
560,0,0
580,2,8e-05
600,1,4e-05
630,1,4e-05
660,2,8e-05
690,5,0.0002
720,3,0.00012
750,3,0.00012
780,6,0.00024
810,3,0.00012
840,4,0.00016
870,12,0.00048
900,16,0.00064
950,13,0.00052
1000,10,0.0004
1050,18,0.00072
1100,28,0.00112
1150,34,0.00136
1200,29,0.00116
1250,36,0.00144
1310,36,0.00144
1370,38,0.00152
1430,37,0.00148
1490,46,0.00184
1550,52,0.00208
1610,49,0.00196
1680,64,0.00256
1750,52,0.00208
1820,55,0.0022
1890,76,0.00304
1970,83,0.00332
2050,97,0.00388
