Bin , nEvents , Efficiencies
152.41,3,0.00016
165.05,4,0.00017
178.75,2,0.00018
193.57,12,0.0004 
209.63,14,0.00057
227.02,12,0.0008 
245.86,28,0.00121
266.25,31,0.00155
288.34,63,0.00229
312.26,104,0.00252
338.16,115,0.00309
366.21,171,0.00345
396.59,207,0.00451
429.49,242,0.00539
465.12,272,0.00687
503.71,331,0.00787
545.49,390,0.00927
590.74,467,0.01176
639.75,530,0.01417
692.82,735,0.01554
750.29,802,0.01797
812.54,996,0.02191
879.94,1187,0.02492
952.94,1400,0.02835
1032,1594,0.03223
1117.6,1907,0.03556
1210.3,1979,0.03981
1310.7,2281,0.04153
1419.4,2468,0.04392
1537.2,2534,0.0448 
1664.7,2707,0.0448 
1802.8,2525,0.04521
1952.4,2387,0.04269
2114.3,2165,0.04054
2289.7,1828,0.03599
2479.7,1528,0.03088
