"Bin "," nEvents "," Efficiencies"
152.41,1,2.000e-05
165.05,1,0.000e+00
178.75,0,2.000e-05
193.57,0,0.000e+00
209.63,1,4.000e-05
227.02,0,2.000e-05
245.86,1,0.000e+00
266.25,0,0.000e+00
288.34,5,2.000e-05
312.26,3,1.200e-04
338.16,3,5.000e-05
366.21,1,1.400e-04
396.59,6,9.000e-05
429.49,11,1.600e-04
465.12,11,3.200e-04
503.71,19,4.700e-04
545.49,22,7.000e-04
590.74,34,7.400e-04
639.75,53,9.800e-04
692.82,63,1.390e-03
750.29,90,1.840e-03
812.54,91,2.070e-03
879.94,126,2.460e-03
952.94,147,3.260e-03
1032,164,3.660e-03
1117.6,203,4.590e-03
1210.3,269,6.230e-03
1310.7,304,7.290e-03
1419.4,377,8.910e-03
1537.2,463,1.045e-02
1664.7,577,1.268e-02
1802.8,718,1.562e-02
1952.4,853,1.983e-02
2114.3,1053,2.256e-02
2289.7,1185,2.537e-02
2479.7,1405,2.949e-02
