Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,1,4e-05
240,0,0
260,0,0
280,2,8e-05
300,1,4e-05
320,0,0
340,1,4e-05
360,2,8e-05
380,2,8e-05
400,0,0
420,0,0
440,3,0.00012
460,4,0.00016
480,1,4e-05
500,3,0.00012
520,2,8e-05
540,2,8e-05
560,6,0.00024
580,8,0.00032
600,12,0.00048
630,17,0.00068
660,22,0.00088
690,23,0.00092
720,24,0.00096
750,27,0.00108
780,19,0.00076
810,29,0.00116
840,23,0.00092
870,34,0.00136
900,40,0.0016
950,33,0.00132
1000,48,0.00192
1050,66,0.00264
1100,70,0.0028
1150,63,0.00252
1200,59,0.00236
1250,79,0.00316
1310,98,0.00392
1370,122,0.00488
1430,100,0.004
1490,112,0.00448
1550,120,0.0048
1610,145,0.0058
1680,178,0.00712
1750,172,0.00688
1820,185,0.0074
1890,212,0.00848
1970,241,0.00964
2050,265,0.0106
