"Bin "," nEvents "," Efficiencies"
150,0," 0.00e+00"
160,0," 0.00e+00"
170,0," 0.00e+00"
180,0," 0.00e+00"
190,0," 1.20e-04"
200,0," 0.00e+00"
220,0," 4.00e-05"
240,0," 1.20e-04"
260,1," 0.00e+00"
280,0,-4.00e-05
300,1,-8.00e-05
320,0," 0.00e+00"
340,0,-8.00e-05
360,0,-1.60e-04
380,0,-1.60e-04
400,0," 0.00e+00"
420,1," 1.20e-04"
440,0,-2.40e-04
460,1,-8.00e-05
480,0," 1.60e-04"
500,1,-2.40e-04
520,2," 2.00e-04"
540,1," 8.00e-05"
560,1,-1.20e-04
580,0,-2.80e-04
600,1,-4.80e-04
630,4,-1.24e-03
660,1,-1.04e-03
690,0,-4.00e-05
720,2,-8.40e-04
750,2,-4.80e-04
780,7," 8.80e-04"
810,4," 8.00e-05"
840,3," 8.00e-05"
870,6," 4.00e-05"
900,16," 1.48e-03"
950,14," 1.68e-03"
1000,36," 9.60e-04"
1050,33,-9.60e-04
1100,21,-5.60e-04
1150,33," 1.08e-03"
1200,33," 8.00e-04"
1250,35," 1.84e-03"
1310,36," 2.24e-03"
1370,39,-4.00e-04
1430,40," 4.24e-03"
1490,48,-6.80e-04
1550,47," 9.60e-04"
1610,49," 7.60e-04"
1680,58,-1.40e-03
1750,67," 1.60e-03"
1820,67," 1.04e-03"
1890,88," 2.48e-03"
1970,106," 1.60e-03"
2050,108,-2.00e-03
