"Bin "," nEvents "," Efficiencies"
152.41,0,2.000e-05
165.05,0,0.000e+00
178.75,1,1.000e-05
193.57,1,1.000e-05
209.63,0,2.000e-05
227.02,1,4.000e-05
245.86,0,0.000e+00
266.25,1,1.000e-05
288.34,3,4.000e-05
312.26,0,3.000e-05
338.16,3,4.000e-05
366.21,5,7.000e-05
396.59,4,5.000e-05
429.49,4,6.000e-05
465.12,5,8.000e-05
503.71,6,9.000e-05
545.49,25,2.600e-04
590.74,32,3.600e-04
639.75,42,5.200e-04
692.82,48,7.300e-04
750.29,71,9.000e-04
812.54,90,1.140e-03
879.94,96,1.400e-03
952.94,132,1.890e-03
1032,120,1.710e-03
1117.6,144,2.260e-03
1210.3,211,2.980e-03
1310.7,249,3.780e-03
1419.4,311,4.600e-03
1537.2,411,5.800e-03
1664.7,456,6.890e-03
1802.8,563,7.980e-03
1952.4,706,1.046e-02
2114.3,947,1.345e-02
2289.7,1137,1.615e-02
2479.7,1255,1.939e-02
