Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,0,0
209.63,0,0
227.02,0,0
245.86,0,0
266.25,0,0
288.34,1,2.49445e-05
312.26,0,0
338.16,0,0
366.21,0,0
396.59,0,0
429.49,0,0
465.12,1,2.49445e-05
503.71,3,7.48335e-05
545.49,1,2.49445e-05
590.74,1,2.49445e-05
639.75,1,2.49445e-05
692.82,6,0.000149667
750.29,4,9.9778e-05
812.54,12,0.000299334
879.94,13,0.000324278
952.94,17,0.000424056
1032,10,0.000249445
1117.6,17,0.000424056
1210.3,34,0.000848113
1310.7,34,0.000848113
1419.4,43,0.00107261
1537.2,43,0.00107261
1664.7,74,0.00184589
1802.8,89,0.00222006
1952.4,107,0.00266906
2114.3,121,0.00301828
2289.7,138,0.00344234
2479.7,178,0.00444012
