"Bin "," nEvents "," Efficiencies"
"150","12","0.00028"
"160","15","0.00014"
"170","11","0.00022"
"180","13","0.00024"
"190","11","0.00034"
"200","33","0.00064"
"220","52","0.00101"
"240","52","0.00106"
"260","53","0.00111"
"280","54","0.00126"
"300","83","0.00148"
"320","80","0.00169"
"340","81","0.00192"
"360","93","0.00172"
"380","92","0.00183"
"400","106","0.00218"
"420","117","0.002  "
"440","118","0.00257"
"460","106","0.00223"
"480","130","0.00233"
"500","140","0.00256"
"520","138","0.00252"
"540","137","0.00243"
"560","132","0.00278"
"580","160","0.00315"
"600","240","0.004  "
"630","243","0.00507"
"660","223","0.00528"
"690","250","0.00543"
"720","219","0.00494"
"750","267","0.00539"
"780","262","0.0053 "
"810","274","0.00577"
"840","280","0.00554"
"870","273","0.00593"
"900","495","0.01016"
"950","500","0.01018"
"1000","486","0.01089"
"1050","509","0.01095"
"1100","476","0.01082"
"1150","551","0.0109 "
"1200","542","0.01037"
"1250","648","0.01221"
"1310","654","0.01229"
"1370","626","0.01194"
"1430","575","0.01135"
"1490","587","0.01164"
"1550","591","0.01091"
"1610","685","0.01321"
"1680","685","0.01231"
"1750","644","0.01184"
"1820","589","0.01143"
"1890","662","0.01245"
"1970","657","0.01139"
"2050","608","0.01099"
