Bin , nEvents , Efficiencies
150,2,8e-05
160,0,0
170,0,0
180,0,0
190,1,4e-05
200,5,0.0002
220,7,0.00028
240,2,8e-05
260,10,0.0004
280,14,0.00056
300,20,0.0008
320,15,0.0006
340,18,0.00072
360,18,0.00072
380,19,0.00076
400,25,0.001
420,31,0.00124
440,33,0.00132
460,38,0.00152
480,43,0.00172
500,41,0.00164
520,43,0.00172
540,49,0.00196
560,44,0.00176
580,57,0.00228
600,69,0.00276
630,80,0.0032
660,88,0.00352
690,114,0.00456
720,105,0.0042
750,118,0.00472
780,112,0.00448
810,99,0.00396
840,119,0.00476
870,127,0.00508
900,162,0.00648
950,177,0.00708
1000,215,0.0086
1050,221,0.00884
1100,218,0.00872
1150,222,0.00888
1200,230,0.0092
1250,270,0.0108
1310,281,0.01124
1370,288,0.01152
1430,268,0.01072
1490,309,0.01236
1550,308,0.01232
1610,344,0.01376
1680,311,0.01244
1750,306,0.01224
1820,283,0.01132
1890,353,0.01412
1970,331,0.01324
2050,307,0.01228
