"Bin "," nEvents "," Efficiencies"
152.41,12,"0.00054   "
165.05,25,0.00056667
178.75,26,0.00099334
193.57,55,0.00112667
209.63,59,"0.00166   "
227.02,74,0.00210667
245.86,113,0.00250666
266.25,145,"0.00322   "
288.34,167,0.00427333
312.26,245,0.00481334
338.16,291,0.00585333
366.21,323,0.00675334
396.59,407,0.00778666
429.49,435,"0.0097    "
465.12,481,0.01202666
503.71,570,"0.01288   "
545.49,662,0.01454667
590.74,722,"0.01626   "
639.75,848,0.01879334
692.82,973,0.02079334
750.29,1115,0.02306667
812.54,1158,"0.02536   "
879.94,1364,0.02768666
952.94,1414,"0.0306    "
1032,1665,0.03173334
1117.6,1755,0.03436666
1210.3,1747,0.03606666
1310.7,1841,0.03717334
1419.4,1842,0.03649334
1537.2,1797,0.03644667
1664.7,1756,0.03497334
1802.8,1720,0.03441334
1952.4,1581,"0.03204   "
2114.3,1373,0.02735333
2289.7,1289,0.02344666
2479.7,1065,"0.02024 "
