Bin , nEvents , Efficiencies
152.41,4,8e-05
165.05,6,0.00012
178.75,9,0.00018
193.57,4,8e-05
209.63,17,0.00034
227.02,14,0.00028
245.86,23,0.00046
266.25,44,0.00088
288.34,49,0.00098
312.26,70,0.0014
338.16,81,0.00162
366.21,100,0.002
396.59,144,0.00288
429.49,183,0.00366
465.12,211,0.00422
503.71,282,0.00564
545.49,339,0.00678
590.74,380,0.0076
639.75,465,0.0093
692.82,493,0.00986
750.29,552,0.01104
812.54,720,0.0144
879.94,754,0.01508
952.94,837,0.01674
1032,939,0.01878
1117.6,1122,0.02244
1210.3,1103,0.02206
1310.7,1290,0.0258
1419.4,1340,0.0268
1537.2,1378,0.02756
1664.7,1442,0.02884
1802.8,1370,0.0274
1952.4,1397,0.02794
2114.3,1336,0.02672
2289.7,1226,0.02452
2479.7,1053,0.02106
