"Bin "," nEvents "," Efficiencies"
150,1395,0.00256
160,1497,0.00244
170,1623,"0.0032 "
180,1561,0.00144
190,1593,0.00324
200,3302,0.00732
220,3375,0.00948
240,3583,0.00588
260,3766,0.00488
280,3652,0.00592
300,3731,0.00492
320,3704,0.00364
340,3633,0.00536
360,3844,"0.008  "
380,3786,0.00916
400,3742,0.00872
420,3636,0.00576
440,3635,0.00776
460,3684,0.00928
480,3635,0.01008
500,3446,"0.0062 "
520,3558,"0.0046 "
540,3481,0.00464
560,3410,0.00404
580,3430,0.00752
600,4803,"0.0104 "
630,4746,0.01364
660,4718,0.00632
690,4657,"0.0108 "
720,4373,"0.007  "
750,4284,0.00708
780,4167,0.00932
810,4072,0.00448
840,3892,0.00708
870,3702,"0.0084 "
900,6108,"0.0106 "
950,5702,0.01248
1000,5468,"0.0116 "
1050,5167,0.00928
1100,4751,0.01116
1150,4496,0.00748
1200,4407,0.00752
1250,4669,"0.0078 "
1310,4557,0.01084
1370,4176,"0.0114 "
1430,3825,"0.0066 "
1490,3536,0.00888
1550,3441,0.00556
1610,3665,"0.007  "
1680,3302,"0.0064 "
1750,3054,"0.007  "
1820,2824,0.00392
1890,2904,0.00528
1970,2603,0.00604
2050,2340,0.00444
