Bin , nEvents , Efficiencies
152.41,114,0.00456
165.05,130,0.0052
178.75,147,0.00588
193.57,184,0.00736
209.63,237,0.00948
227.02,259,0.01036
245.86,322,0.01288
266.25,304,0.01216
288.34,295,0.0118
312.26,430,0.0172
338.16,382,0.01528
366.21,457,0.01828
396.59,516,0.02064
429.49,531,0.02124
465.12,569,0.02276
503.71,577,0.02308
545.49,630,0.0252
590.74,666,0.02664
639.75,717,0.02868
692.82,699,0.02796
750.29,739,0.02956
812.54,725,0.029
879.94,760,0.0304
952.94,725,0.029
1032,772,0.03088
1117.6,719,0.02876
1210.3,732,0.02928
1310.7,677,0.02708
1419.4,646,0.02584
1537.2,593,0.02372
1664.7,534,0.02136
1802.8,474,0.01896
1952.4,375,0.015
2114.3,374,0.01496
2289.7,260,0.0104
2479.7,226,0.00904
