"Bin "," nEvents "," Efficiencies"
150,3288,"0.0068 "
160,3177,0.00538
170,3344,0.01018
180,3162,0.00576
190,3207,0.00598
200,6643,"0.0083 "
220,6354,0.01064
240,6314,0.01174
260,6258,0.01212
280,6169,0.00798
300,5878,0.01306
320,5639,0.00862
340,5330,0.00756
360,5245,0.01044
380,5034,0.01072
400,4856,0.00622
420,4670,0.00698
440,4537,0.00922
460,4370,0.01184
480,4128,"0.0081 "
500,4012,"0.0073 "
520,3750,0.00878
540,3639,0.00824
560,3615,0.00634
580,3388,"0.0075 "
600,4866,0.01178
630,4616,0.00516
660,4203,0.01084
690,4021,"0.0088 "
720,3823,0.00724
750,3459,0.00626
780,3388,0.00698
810,3234,0.00494
840,2979,0.00332
870,2829,0.00372
900,4253,0.00838
950,3898,"0.0063 "
1000,3661,0.00626
1050,3294,0.00708
1100,2950,0.00506
1150,2675,0.00632
1200,2460,0.00778
1250,2717,0.00498
1310,2432,0.00386
1370,2125,"0.0032 "
1430,1935,0.00428
1490,1688,0.00278
1550,1627,0.00582
1610,1613,0.00156
1680,1452,0.00334
1750,1226,0.00052
1820,1124,0.00176
1890,1136,0.00292
1970,1004,0.00254
2050,808,0.00136
