Bin , nEvents , Efficiencies
150,158,0.00632
160,157,0.00628
170,161,0.00644
180,179,0.00716
190,182,0.00728
200,329,0.01316
220,322,0.01288
240,328,0.01312
260,330,0.0132
280,305,0.0122
300,267,0.01068
320,279,0.01116
340,276,0.01104
360,262,0.01048
380,268,0.01072
400,246,0.00984
420,259,0.01036
440,234,0.00936
460,222,0.00888
480,212,0.00848
500,230,0.0092
520,212,0.00848
540,196,0.00784
560,208,0.00832
580,216,0.00864
600,265,0.0106
630,243,0.00972
660,199,0.00796
690,213,0.00852
720,198,0.00792
750,192,0.00768
780,152,0.00608
810,179,0.00716
840,152,0.00608
870,161,0.00644
900,206,0.00824
950,188,0.00752
1000,168,0.00672
1050,148,0.00592
1100,131,0.00524
1150,111,0.00444
1200,125,0.005
1250,107,0.00428
1310,105,0.0042
1370,82,0.00328
1430,87,0.00348
1490,75,0.003
1550,62,0.00248
1610,67,0.00268
1680,56,0.00224
1750,47,0.00188
1820,40,0.0016
1890,41,0.00164
1970,26,0.00104
2050,37,0.00148
